name,pos_tag
sherry,NN
dende,VBD
eggs,NNS
fleur,VBP
nuts,NNS
tex,NN
albacore,IN
unhulled,VBN
maca,NN
sauce,NN
submarine,NN
curlyleaf,NN
gelato,NN
beaten,VBN
iron,NN
plain,NN
tropical,JJ
fillets,NNS
peanuts,NNS
spinach,VBP
oil,NN
cavenders,NNS
process,NN
mitsuba,NN
cuminseed,VBD
drained,VBN
chops,NNS
katsuo,RB
spring,VBG
riesling,VBG
alaskan,NN
broth,NN
cranberry,NN
arhar,NN
brussels,NNS
jujube,VBP
sponge,NN
grenadine,NN
paprika,NN
bonito,NN
pepe,NN
bisquick,NN
tomatillo,NN
leche,NN
balance,NN
truffles,NNS
silver,RB
blends,VBZ
brewed,VBN
morel,NN
farro,NN
crabmeat,NN
kewpie,NN
canela,NN
thickcut,NN
of,IN
mango,NN
lumpia,NN
eggnog,NN
ouzo,NN
santo,IN
jagermeister,NN
ruby,NN
ampalaya,NN
carnation,NN
florets,NNS
land,VBP
poppyseeds,NNS
undiluted,VBN
coconut,NN
firmly,RB
mole,JJ
mahimahi,NN
sockeye,NN
segments,NNS
star,NN
bear,NN
snaps,NNS
puree,VBP
amaretto,IN
suckling,VBG
paccheri,NN
pumpkin,NN
cake,NN
gnocchi,NN
chocolatehazelnut,NN
neem,NN
cantal,NN
sausag,NN
spike,NN
soybased,VBD
wheat,NN
carbonated,VBN
viande,NN
collard,NN
artificial,NN
keema,NN
queso,RB
syrup,VB
louisiana,NNS
pam,NN
well,RB
ovenready,RB
liquid,JJ
sprite,NN
softshell,NN
anisette,NN
glutenfree,NN
in,IN
promise,NN
orange,NN
du,NN
torn,NN
jonshonville,NN
monterey,NN
glacs,NNS
corkscrew,VBD
crocker,NN
pain,NN
creme,NN
uncook,NN
french,NN
home,NN
tomatoes,VBZ
piripiri,NN
spaghetti,NN
scrod,NN
hawaiian,NN
wonton,NN
oysters,NNS
robiola,VBP
whip,NN
chicory,NN
pomelo,NN
havarti,NN
zucchini,NN
seamless,NN
tuna,NN
piquillo,NN
shell,NN
biscuit,NN
pea,NN
flakes,VBZ
flaked,VBN
budweiser,NN
tiger,NN
chachere,RB
classico,RB
burrito,IN
thyme,NN
negro,NN
fresh,NN
hierba,NN
blackstrap,NN
aai,NN
turbot,NN
seltzer,NN
poundcake,NN
chioggia,NN
essence,NN
armagnac,NN
sesame,NN
chickenapple,NN
popcorn,NN
turkey,NN
saffron,NN
tapatio,NN
fern,NN
glass,NN
drink,NN
shirataki,NN
sauc,NN
pla,NN
chocho,NN
hothouse,NN
citrus,VBZ
posole,JJ
turmeric,JJ
devil,NN
it,PRP
sugars,VBZ
portuguese,JJ
cakes,NNS
mayonnaise,VBP
turnip,NN
jameson,NN
oats,NNS
unsalted,VBD
boysenberries,NNS
sec,NN
allspice,NN
filets,NNS
pies,NNS
warm,VBP
psyllium,NN
pinto,IN
vindaloo,NN
peanut,NN
flavored,VBD
yum,NN
flowers,NNS
dinner,NN
noir,NN
udon,NN
dip,NN
harusame,NN
olie,NN
cranberries,NNS
sweetbreads,NNS
tostitos,NNS
eating,VBG
conger,JJR
manis,NNS
european,JJ
grit,NN
chuck,NN
selfrising,VBG
carne,NN
packed,VBD
reduced,VBN
iceberg,NN
mantou,NN
fatback,NN
anasazi,NN
dates,VBZ
khoa,NN
leav,NN
oyster,NN
harissa,NN
with,IN
cham,NN
bacon,NN
flax,NN
frankfurters,NNS
concentrate,VBP
cardamom,NN
kisses,NNS
greater,JJR
chardonnay,NN
lo,NN
manchego,NN
tendons,NNS
cavatelli,VBP
seasoning,VBG
cinnamon,NN
avocados,NNS
swede,VBP
blackberries,NNS
sangiovese,VBP
imperial,JJ
chive,JJ
pandanus,NN
ricotta,NN
chickens,NNS
cubed,VBD
wolf,PRP
williams,NNS
leek,VBP
cockles,NNS
harvest,JJS
cloves,NNS
sorbet,VBP
sub,NN
pasilla,NN
cheddar,NN
shellfish,NN
stick,NN
ears,NNS
boudin,VBP
sweetener,NN
watercress,NN
jamaican,NN
falafel,NN
spices,NNS
countrystyle,NN
pinenuts,NNS
creamed,VBD
ton,NN
clementines,NNS
chow,VBP
goma,NN
velvet,NN
espresso,NN
manouri,NN
yogurt,NN
jelli,NN
kumquats,NNS
tempeh,VBP
apples,NNS
fritos,NNS
tortilla,VBP
deli,NN
tart,NN
sheet,NN
hamburger,NN
dark,NN
cummin,NN
mandarin,NN
hong,IN
taco,NN
spiral,JJ
bows,NNS
pappardelle,VBP
plantains,NNS
bought,VBD
semolina,NNS
strozzapreti,VBP
oigatsuo,NN
fluff,NN
giblet,NN
membrillo,NN
lap,NN
pitted,VBD
mint,NN
potsticker,NN
proactiv,NN
gourd,NN
marzano,NN
matsutake,NN
any,DT
unsweetened,VBN
rapeseed,NN
reggiano,RB
portobello,RB
dill,RB
smithfield,VBN
mince,NN
flatbread,NN
manzanilla,NN
roughy,NN
reducedfat,NN
lavender,NN
heath,NN
pareve,NN
unsulphured,VBD
grigio,NN
the,DT
seven,CD
storebought,NN
taste,NN
steak,NN
light,NN
picnic,NN
fondant,NN
garam,NN
grilled,VBD
petit,NN
calorie,NN
abbamele,NN
haddock,NN
huckleberries,NNS
ulek,VBP
dumpling,VBG
raspberries,NNS
prunes,NNS
mignon,VBP
pecorino,RB
beverage,NN
v,NN
edam,NN
pappadams,NNS
puffed,VBD
chinese,JJ
cotija,NN
italianstyle,NN
wholesome,NN
emmenthal,NN
lasagne,NN
blend,NN
stellette,NN
ortega,NN
cayenne,NN
oguraan,NN
currants,NNS
broccoli,VBP
thick,NN
reblochon,NN
cress,NN
blueberri,NN
hoop,NN
verbena,NN
dal,NN
taleggio,NN
foods,NNS
arugula,VBP
au,NN
balm,NN
devein,NN
borage,NN
shallots,NNS
pigeon,VBP
pot,NN
linguini,NN
slice,NN
knudsen,NN
soursop,NN
extra,NN
shoepeg,NN
rosemari,NN
caraway,NN
better,NN
menthe,NN
jalapenos,NNS
lesser,NN
lobster,NN
leafy,NN
mustard,NN
kasha,NN
filling,VBG
raspberri,NN
tropic,JJ
noodle,NN
muffins,NNS
arctic,JJ
quickcooking,NN
madagascar,NN
wish,NN
laurel,NN
soften,NN
karashi,NN
mochiko,NN
nakano,NN
kiwifruit,NN
tarama,NN
asadero,NN
cachaca,NN
barley,NN
cooking,VBG
asiago,RB
sloe,JJ
chee,NN
gram,NN
treviso,RB
amber,NN
spearmint,NN
jerk,NN
cilantro,NN
piecrust,NN
idaho,NN
sausage,NN
sweetened,VBD
pimenton,NN
spray,NN
brew,VBD
prosecco,NN
liqueur,NN
anjou,NN
pastina,NN
cornhusks,NNS
chang,VBP
somen,NNS
garden,VBN
reduc,NN
toasted,VBN
recipe,NN
day,NN
chips,NNS
skirt,NN
genmai,NN
curd,NN
kohlrabi,NN
shiro,NN
provence,NN
cannoli,NN
thread,NN
braising,VBG
cracker,NN
kombu,NN
blanched,VBD
